Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//shorten,1321,0,120,177.7669128023896,68.71909600158688,1619.1187919976073,80.0,22.368285399764144,0.0,120,160,190,220,330,470,670,810,1600,1600,1600
,Aggregated,1321,0,120,177.7669128023896,68.71909600158688,1619.1187919976073,80.0,22.368285399764144,0.0,120,160,190,220,330,470,670,810,1600,1600,1600
